id,title,company,sector,location,stipend,duration,datePosted,startDate,description,responsibilities,requirements,skills,perks,numberOfOpenings,type,deadline
0053266f-b30e-4311-968d-c7a04271f958,Business Strategy,Gravity Infra Solutions,Manufacturing,"[""Bangalore"", ""560001""]","30,000",3,21-09-2025,Immediate,"The Business Strategy Intern will work on high-impact projects involving market analysis, strategic planning, and event management.",Conduct research and analysis to support strategic decision-making; Prepare reports and presentations using MS-Office; Assist with event management for corporate initiatives; Apply mathematical and analytical skills to business problems.,"A strong background in business, with skills in mathematics, report writing, and MS-Office; Experience in event management is a plus; Excellent written English and analytical skills; This is a high-responsibility role with a lump sum stipend.","['MS-Office', 'Event Management', 'Mathematics', 'Report Writing', 'English Proficiency (Written)', 'Business Strategy']",Internship Certificate; Letter of recommendation; Flexible work hours; Informal dress code; Lump sum stipend,1,onsite,21-10-2025
008391b4-7a28-4bd8-a6cc-a097d07cf385,Java App Development (Spring Boot & Hibernate),TesQuirel Solutions Private Limited,Technology,"[""Bangalore"", ""560001""]","8,000",6,21-09-2025,Immediate,The Java App Development Intern will contribute to building and maintaining web applications using Spring and Hibernate.,Develop and maintain backend services using Spring MVC and Hibernate; Design and implement REST APIs for application integration; Write and optimize SQL queries for database management; Collaborate with the development team on coding and debugging tasks.,"Strong knowledge of Java, Spring MVC, and Hibernate; Experience with SQL and REST API development; Understanding of software development principles; A passion for backend development.","['SQL', 'Hibernate (Java)', 'Spring MVC', 'REST API']",Internship Certificate; Letter of recommendation; Informal dress code; Free snacks & beverages,2,onsite,21-10-2025
00f1b525-d92c-4477-8622-60bf8d4d4585,Videography & Photography,REVIVE,Other,"[""Bangalore"", ""560001""]","7,000",3,21-09-2025,Immediate,The Videography & Photography Intern will create compelling visual content for our brand.,"Plan, shoot, and edit videos and photos for marketing and promotional use; Collaborate with the creative team on concepts and storyboards; Manage production workflow, from shooting to final delivery; Create visually engaging content for our digital platforms.","Strong skills in video making and video editing, as well as photography; A creative portfolio showcasing your visual storytelling abilities; Proficiency with video and photo editing software; A passionate and collaborative creator.","['Video Editing', 'Video Making', 'Photography', 'Videography']",Internship Certificate; Letter of recommendation,1,remote,21-10-2025
023ed64e-f88c-4513-9969-6818d0099e26,Business Development (Sales),La Muse,Design,"[""Pune"", ""411001""]","2,000",2,21-09-2025,Immediate,"The Business Development (Sales) Intern will support sales for our fashion brand, with incentives offered.",Communicate with potential clients and boutiques in English and Hindi; Prepare sales documents and proposals using MS-Word and MS-Excel; Assist with outreach and follow-up activities; Support the team in achieving sales goals.,Proficiency in MS-Word and MS-Excel; Excellent spoken English and Hindi; A passion for fashion and sales; Strong interpersonal skills.,"['MS-Word', 'MS-Excel', 'English Proficiency (Spoken)', 'English Proficiency (Written)', 'Hindi Proficiency (Spoken)']",Internship Certificate; Letter of recommendation; Performance incentives,1,hybrid,21-10-2025
0389099e-487b-4bcf-95c3-3b7924a68906,Operations,KUST HEALTHCARE PRIVATE LIMITED,Healthcare,"[""Bangalore"", ""560001""]","5,000",1,21-09-2025,Immediate,This is a one-month Operations Internship to support our healthcare services.,Assist with the day-to-day operational tasks of our healthcare facility; Help coordinate between different departments to ensure smooth patient flow; Support with administrative and documentation tasks; Contribute to maintaining a high standard of service.,Strong organizational and communication skills; An interest in healthcare operations; A proactive and compassionate attitude; Ability to work in a fast-paced environment.,"['Operations Management', 'Healthcare Administration', 'Coordination']",Internship Certificate; Informal dress code; Experience in the healthcare sector,1,onsite,21-10-2025
051520f5-1fe8-433b-b537-3b9c1b518ff3,Human Resources (HR),Lugano Technology Services,Technology,"[""Bangalore"", ""560001""]","3,000",3,21-09-2025,Immediate,The Human Resources (HR) Intern will support the HR functions within our technology company.,"Assist with the recruitment process, including posting jobs and screening resumes; Help with employee onboarding and documentation; Support HR administrative tasks and projects; Learn about HR practices in the tech industry.",A strong interest in a career in Human Resources; Excellent organizational and communication skills; A detail-oriented and professional attitude; Ability to handle confidential information.,"['Human Resources', 'Recruitment', 'HR Administration']",Internship Certificate; Letter of recommendation,1,hybrid,21-10-2025
06d08a7d-a4ee-42e1-8e85-728127f0ff4b,Interior Design,NVT QUALITY LIFESTYLE PROJECTS PRIVATE LIMITED,Design,"[""Bangalore"", ""560001""]","5,000",3,21-09-2025,Immediate,The Interior Design Intern will support our design team on residential and commercial projects.,Assist senior designers with space planning and concept development; Help create mood boards and material selections; Support in drafting and 3D modeling tasks; Coordinate with vendors and suppliers.,Pursuing a degree in Interior Design or a related field; A strong creative portfolio; Familiarity with design software like AutoCAD or SketchUp is a plus; Passion for interior design and aesthetics.,"['Interior Design', 'Space Planning', 'Material Sourcing']",Internship Certificate; Exposure to high-end design projects,2,remote,21-10-2025
074a3604-b9d1-4f95-b814-19cc0feb71cb,Software Development,Enzen Global Solutions Private Limited,Technology,"[""Bangalore"", ""560001""]","15,000",6,21-09-2025,Immediate,The Software Development Intern will contribute to projects using Java and .NET technologies.,"Develop, test, and maintain software applications using Java and/or .NET; Write clean, scalable code under the guidance of senior developers; Participate in code reviews and agile development processes; Troubleshoot and debug applications.",Strong programming skills in Java and/or .NET; A good understanding of object-oriented programming concepts; A passion for software development and problem-solving; Ability to work effectively in a 5-day-a-week schedule.,"['Java', '.NET', 'Software Development']",Internship Certificate; 5 days a week; Experience in a global solutions company,3,hybrid,21-10-2025
083d2dea-c1a3-42cc-b8a3-1b38f0413dee,Graphic Design,Inovexic,Technology,"[""Bangalore"", ""560001""]","7,000",2,21-09-2025,Immediate,The Graphic Design Intern will create visually appealing content for our social media and marketing channels.,Design graphics and marketing materials using Adobe Photoshop and Illustrator; Write engaging copy for social media posts and ads; Collaborate with the marketing team on campaign strategies; Ensure brand consistency across all visual content.,"Proficiency in Adobe Photoshop, Illustrator, and Creative Suite; Strong copywriting and social media marketing skills; A creative portfolio is required; Ability to work in a collaborative, fast-paced environment.","['Social Media Marketing', 'Adobe Photoshop', 'Adobe Illustrator', 'Adobe Creative Suite', 'Copywriting']",Internship Certificate; Letter of recommendation; Flexible work hours; Informal dress code; 5 days a week,1,onsite,21-10-2025
0875db77-cc24-46f0-834e-5ade3f1da3dc,Business Development (Sales),Ms. Kwikpic Tech Services,Technology,"[""Delhi"", ""110001""]","8,000",2,21-09-2025,Immediate,The Business Development (Sales) Intern will support our sales activities with incentives for good performance.,Use MS-Office to prepare sales reports and presentations; Assist the sales team with lead generation and client communication; Learn about our tech services to effectively pitch to potential customers; Help maintain the sales database.,Proficiency in MS-Office; Strong communication and interpersonal skills; An interest in technology and sales; Self-motivated with a willingness to learn.,"['MS-Office', 'Sales Support', 'Lead Generation']",Internship Certificate; Flexible work hours; Performance incentives,1,hybrid,21-10-2025
087f6101-b37f-4f95-8879-71e2ff09e8d9,Company Secretary (CS),BDO India LLP,Finance,"[""Bangalore"", ""560001""]","10,000",12,21-09-2025,Immediate,This is a one-year Company Secretary (CS) Internship at a leading professional services firm.,"Assist with corporate law compliance and secretarial work; Help with the preparation of board minutes, resolutions, and other legal documents; Support the team with filings and regulatory compliance; Work in a professional, 5-day-a-week environment.",Currently pursuing the Company Secretary (CS) course; A strong understanding of corporate law and compliance; A high level of professionalism and attention to detail; Excellent organizational and communication skills.,"['Company Secretary', 'Corporate Law', 'Compliance']",Internship Certificate; 5 days a week; Experience in a top-tier firm,1,hybrid,21-10-2025
089f09b0-aea1-469c-83fc-94971f3de0a6,Interior Design,Blucap LLP,Design,"[""Bangalore"", ""560001""]","5,000",6,21-09-2025,Immediate,The Interior Design Intern will support our design team on a variety of projects.,Assist senior designers with space planning and concept development; Create 2D drawings in AutoCAD and 3D models in Google SketchUp; Help with material selection and creating client presentations; Support with on-site coordination and vendor communication.,Proficiency in AutoCAD and Google SketchUp; A creative portfolio showcasing your design skills; Currently pursuing a degree in Interior Design; A passionate and collaborative team player.,"['AutoCAD', 'Google SketchUp', 'Interior Design']",Internship Certificate; Letter of recommendation; Informal dress code,2,onsite,21-10-2025
08b81dbc-b0eb-4037-8b92-f1ffcc99d13d,Business Development (Sales),Tough Club Fitness,Healthcare,"[""Bangalore"", ""560001""]","2,000",3,21-09-2025,Immediate,The Business Development (Sales) Intern will utilize a wide range of skills to drive membership sales for our fitness club.,"Execute social media and Facebook marketing campaigns; Manage sales processes with Salesforce and Tally; Create content, including blogs, videos, and photos; Use MS-Office for reporting and presentations.","A broad skill set covering sales, marketing, and office tools; A passion for fitness and sales; A proactive and versatile individual; This role is incentive-driven and offers a 5-day week.","['Social Media Marketing', 'MS-Office', 'Event Management', 'Blogging', 'MS-PowerPoint', 'Video Editing', 'Accounting', 'Salesforce', 'Facebook Marketing', 'Creative Writing', 'Tally', 'MS-Excel', 'Photography', 'Video Making', 'Computer Networks', 'Client Relationship', 'BIM (Building Information Modeling)', 'TypeScript']",Internship Certificate; 5 days a week; Performance incentives,1,remote,21-10-2025
